coregistration/source_target/func_on_anat,signal_modeling/nuisance_regressors,motion_correction_realignment/register_to/mean,coregistration/cost_function/normalised_mutual_information,motion_correction_realignment/register_to/first,signal_modelling/temporal_noise_autocorrelation/FAST,spatial_normalization/template/MNI152_linear,spatial_normalization/interpolation/trilinear,spatial_normalization/template/MNI305,spatial_normalization/algorithm/linear,spatial_normalization/bias_regularisation/light,signal_modeling/nuisance_regressors/motion,coregistration/cost_function/normalised_cross_correlation,spatial_normalization/algorithm/DARTEL,spatial_normalization/bias_regularisation/medium,spatial_normalization/bias_regularisation/very_light,spatial_normalization/bias_fwhm,spatial_smoothing/fwhm,coregistration/cost_function/mutual_information,signal_modelling/temporal_noise_autocorrelation/AR1,slice_timing_correction/ref_slice/middle,slice_timing_correction/ref_slice,signal_modeling/hrf/temporal_derivs,coregistration/cost_function/entropy_correlation_coefficient,spatial_normalization/bias_regularisation/extremely_light,signal_modeling/hrf/canonical,spatial_normalization/interpolation/nearest_neighbour,spatial_normalization/bias_regularisation,signal_modeling/nuisance_regressors/comp_cor,signal_modeling/hrf/temporal_dispersion_derivs,slice_timing_correction/tool,spatial_normalization/interpolation/bspline,spatial_normalization/bias_regularisation/heavy,slice_timing_correction,slice_timing_correction/tool/spm,slice_timing_correction/ref_slice/first,spatial_normalization/template/MNI152_nonlinear,id,from_ref,target
False,True,True,False,False,False,False,False,False,False,0,6,False,False,0,0,0,6,False,True,False,False,False,True,0,True,False,False,False,False,False,True,0,False,False,False,False,9329a9573e0cb7d81a979528581d9b1f791a83dad0ff491589d5101ab08cb7e4,0.8967407653792007,0
False,True,True,False,False,True,False,True,False,False,0,6,False,False,0,0,0,6,False,False,False,False,True,True,0,False,False,False,False,False,False,False,0,False,False,False,False,92da8cb1569cf655493365bbd86f51cf44470f50bd8833d4021212bfe0cd769e,0.890582805763591,0
False,True,False,True,True,False,False,False,False,False,0,6,False,False,0,0,0,6,False,True,False,False,True,False,0,False,False,False,False,False,False,True,0,False,False,False,False,9111a94c1a55f876b2a92dfa6466af0879e5b3487240c5ebf816502c3366b1d5,0.8976146131360991,0
False,True,True,True,False,False,False,False,False,False,0,6,False,False,0,0,0,6,False,True,True,True,False,False,0,False,True,False,False,True,True,False,0,True,True,False,False,8b0536ff1f27f2ac4767ba4a610e6b6acaf3f3193a2fe00259aa19f0547c6c68,0.86235851826233,0
False,True,False,False,True,True,False,False,False,False,0,6,False,False,0,0,0,6,False,False,True,True,False,True,0,False,False,False,False,True,True,True,0,True,True,False,False,84726feeb56faa79a43c9b483f1ad6d7365b40a0be52773be8ad78d5f9eaf30d,0.8827919510582602,0
False,True,False,True,True,False,False,True,False,False,0,6,False,False,0,0,0,6,False,True,False,False,True,False,0,False,False,False,False,False,False,False,0,False,False,False,False,820eebf31d40705b193f4e818003a6ac2279e75ddbbf19179c597cf3e0005bf4,0.8924491582239386,0
False,True,True,False,False,False,False,False,False,False,0,6,False,False,0,0,0,6,True,True,True,True,True,False,0,False,True,False,False,False,True,False,0,True,True,False,False,800d4ef467f42a27d3e1f5ffd6f2b8448bd728fbd47a53ca256228e7a0c9f14c,0.8728113053962182,0
False,True,True,False,False,False,False,True,False,False,0,6,False,False,0,0,0,6,False,True,False,False,True,True,0,False,False,False,False,False,False,False,0,False,False,False,False,7fa89b1d98c56d527807d53063078dbbaf16251caf2f31bf39afcb82499e61e3,0.890582805763591,0
False,True,True,False,False,True,False,True,False,False,0,6,False,False,0,0,0,6,True,False,False,False,False,False,0,True,False,False,False,False,False,False,0,False,False,False,False,7f000ee2e85fa2d0ae10a50b82d01afdeebaca757d692b8415c3b9e6dff868a6,0.8868905989821029,0
False,True,True,True,False,True,False,False,False,False,0,6,False,False,0,0,0,6,False,False,False,True,True,False,0,False,True,False,False,False,True,False,0,True,True,True,False,7e4599f09c66897e793374bab7baa5c87e923d56b10275973876c985553aafe4,0.9001251988314862,0
