coregistration/source_target/func_on_anat,signal_modeling/nuisance_regressors,motion_correction_realignment/register_to/mean,coregistration/cost_function/normalised_mutual_information,motion_correction_realignment/register_to/first,signal_modelling/temporal_noise_autocorrelation/FAST,spatial_normalization/template/MNI152_linear,spatial_normalization/interpolation/trilinear,spatial_normalization/template/MNI305,spatial_normalization/algorithm/linear,spatial_normalization/bias_regularisation/light,signal_modeling/nuisance_regressors/motion,coregistration/cost_function/normalised_cross_correlation,spatial_normalization/algorithm/DARTEL,spatial_normalization/bias_regularisation/medium,spatial_normalization/bias_regularisation/very_light,spatial_normalization/bias_fwhm,spatial_smoothing/fwhm,coregistration/cost_function/mutual_information,signal_modelling/temporal_noise_autocorrelation/AR1,slice_timing_correction/ref_slice/middle,slice_timing_correction/ref_slice,signal_modeling/hrf/temporal_derivs,coregistration/cost_function/entropy_correlation_coefficient,spatial_normalization/bias_regularisation/extremely_light,signal_modeling/hrf/canonical,spatial_normalization/interpolation/nearest_neighbour,spatial_normalization/bias_regularisation,signal_modeling/nuisance_regressors/comp_cor,signal_modeling/hrf/temporal_dispersion_derivs,slice_timing_correction/tool,spatial_normalization/interpolation/bspline,spatial_normalization/bias_regularisation/heavy,slice_timing_correction,slice_timing_correction/tool/spm,slice_timing_correction/ref_slice/first,coregistration/source_target/anat_on_func,spatial_normalization/template/MNI152_nonlinear,id,from_ref
False,True,True,False,False,True,False,False,False,False,0,18,False,False,0,0,0,6,True,False,False,True,False,False,0,False,True,False,False,True,True,False,0,True,True,True,True,False,e9e0988a3e61ce4d61195c7f360ad7de56058d76525b3d3b4a7de708d361d522,0.9137381794229124
False,True,False,False,True,True,False,False,False,False,0,18,False,False,0,0,0,6,False,False,False,True,False,True,0,False,True,False,False,True,True,False,0,True,True,True,True,False,e9ae6ef064724bd027f708da02981e37dd8d32008474ba807bfc116f685daf6b,0.9142132739956612
False,True,True,True,False,True,False,True,False,False,0,6,False,False,0,0,0,6,False,False,False,False,False,False,0,True,False,False,False,False,False,False,0,False,False,False,True,False,e8ea605007e13c1548d05328a3161704f7421cd9a9eceeab7051f0a264af6d0e,0.8950282211437888
False,True,True,False,False,False,False,True,False,False,0,18,False,False,0,0,0,6,True,True,False,False,False,False,0,True,False,False,False,False,False,False,0,False,False,False,True,False,e8b8cb1c0943e41bd6d58a85e0dbe9ffe9d73e750b5a5618ebc4266604c8463a,0.960820347295544
False,False,False,False,True,True,False,False,False,False,0,0,False,False,0,0,0,6,False,False,True,True,False,True,0,False,False,False,False,True,True,True,0,True,True,False,True,False,e7fb1caa06c4c7b073ba5ccdeb744cde2ec375a23ee29f8c458117f27e498359,0.7884075184088801
False,True,True,True,False,True,False,True,False,False,0,6,False,False,0,0,0,6,False,False,False,True,False,False,0,False,False,False,False,True,True,False,0,True,True,True,True,False,e729dcaf60ad3f56dfcfd593e41f27b610481c3437d56e1f4dc0efc2c2e10fd4,0.905077813800249
False,True,True,True,False,False,False,True,False,False,0,24,False,False,0,0,0,6,False,True,True,True,False,False,0,False,False,False,False,True,True,False,0,True,True,False,True,False,e64b3c7474c70d05ca7169ab037f74a69274e92787b2a31f22eae05662cfd6e4,0.9764725783032092
False,False,True,False,False,False,False,True,False,False,0,0,False,False,0,0,0,6,False,True,False,False,False,True,0,True,False,False,False,False,False,False,0,False,False,False,True,False,e5a5e3f5bfae8ffddf3ac10b868af0ae3c41c4fbcf273b188cc9fdc1116418ac,0.8025331842783238
False,True,True,False,False,False,False,False,False,False,0,18,False,False,0,0,0,6,True,True,False,False,True,False,0,False,False,False,False,False,False,True,0,False,False,False,True,False,e4cb38d0ff32b516ae25cad525fbae1fde63d6a8e21f9911c69b4c9b8f2abd18,0.9683059570880896
False,False,True,False,False,True,False,True,False,False,0,0,False,False,0,0,0,6,False,False,True,True,False,True,0,False,False,False,False,True,True,False,0,True,True,False,True,False,e4a4ea37fe922af9a12d1ea5afd3390e90d74b7e62eb9082017cb70b2afc0b83,0.784139859233862
False,True,True,True,False,True,False,False,False,False,0,18,False,False,0,0,0,6,False,False,False,False,False,False,0,False,False,False,False,True,False,True,0,False,False,False,True,False,e470b642adc131a09aa0dc4d8a19f8bc290c643a0da6b03f84e700f8dfd9a6ef,0.9631726765057664
False,True,False,False,True,False,False,False,False,False,0,6,False,False,0,0,0,6,True,True,False,True,True,False,0,False,True,False,False,False,True,False,0,True,True,True,True,False,e3051e1d8003f4adb0d88a09a70826a0b01f4e4d165711f59a88559a177fd31c,0.8943441653103416
False,False,False,True,True,False,False,False,False,False,0,0,False,False,0,0,0,6,False,True,True,True,False,False,0,True,True,False,False,False,True,False,0,True,True,False,True,False,e2677ece14677da9c462875d62fce68735dfda885d4bc1a0120beb1dbb40ed04,0.7899423086750581
False,True,True,False,False,False,False,False,False,False,0,18,False,False,0,0,0,6,False,True,True,True,False,True,0,False,True,False,False,True,True,False,0,True,True,False,True,False,e1e80ac8cc3d4b8ea0d38f4b419100c5dd6558b56ac428ecb0a665b1fb2680a9,0.9365662986080544
False,False,True,False,False,True,False,False,False,False,0,0,False,False,0,0,0,6,True,False,False,False,True,False,0,False,False,False,False,False,False,True,0,False,False,False,True,False,dfe554f13f689f7c11de6ff82d554d6ef213ff4a51157ca810be0b627967c00c,0.8004982077732116
False,True,True,False,False,False,False,False,False,False,0,18,False,False,0,0,0,6,False,True,True,True,False,True,0,False,False,False,False,True,True,True,0,True,True,False,True,False,de3fbe33db67b4af62ce5ba415b880800bb9cdcbf5ffa7f2e5dc42d7edad1eeb,0.9609780054761564
False,True,False,True,True,True,False,True,False,False,0,6,False,False,0,0,0,6,False,False,True,True,True,False,0,False,False,False,False,False,True,False,0,True,True,False,True,False,dddd2b2efb94ff0486a34c4e2835cffcdba85bac40bb13a7e8a65a5d37e65771,0.8922284500246948
False,True,True,False,False,False,False,True,False,False,0,24,False,False,0,0,0,6,False,True,True,True,True,True,0,False,False,False,False,False,True,False,0,True,True,False,True,False,dcc54deb5fce9155f9afef351c82905d8131614edd3e0edc630c190f0425af4c,0.9899594978693738
False,False,True,False,False,True,False,False,False,False,0,0,False,False,0,0,0,6,True,False,True,True,True,False,0,False,True,False,False,False,True,False,0,True,True,False,True,False,dca5c5af9af3acb0558705f3ff95e5c9401c3f784f1685efdf31f526e01f12a7,0.7870032060152141
False,True,True,False,False,True,False,False,False,False,0,24,False,False,0,0,0,6,True,False,False,False,True,False,0,False,True,False,False,False,False,False,0,False,False,False,True,False,dc501fcb8ce581127639e3a23b2080d9a1e6c850fa735897d11442095f1679c8,0.9623549294326316
False,True,True,True,False,False,False,True,False,False,0,18,False,False,0,0,0,6,False,True,True,True,True,False,0,False,False,False,False,False,True,False,0,True,True,False,True,False,db9203de1608d145eeb0bf7ff409fc85da238a00f51116595ae3ca9d743ade66,0.97667128816542
False,True,True,False,False,True,False,False,False,False,0,6,False,False,0,0,0,6,False,False,False,False,False,True,0,True,False,False,False,False,False,True,0,False,False,False,True,False,db4bb87db4f5618f9bce7b8fb6f7b3c21402aab1aa0394329a37600edaa7fc9d,0.8967407653792007
False,False,False,False,True,False,False,False,False,False,0,0,False,False,0,0,0,6,True,True,True,True,False,False,0,True,True,False,False,False,True,False,0,True,True,False,True,False,dae558319276846bc724868da6f23d549a2233c525189604c286ed1f4e1a6651,0.7889437508931222
False,True,True,False,False,True,False,False,False,False,0,18,False,False,0,0,0,6,False,False,False,True,False,True,0,False,False,False,False,True,True,True,0,True,True,True,True,False,da8b1ea9e05f6a22b002baef15b0576535d7054c1ffa85dd58e4af07d76b3a58,0.9380148411242928
False,True,True,False,False,False,False,False,False,False,0,18,False,False,0,0,0,6,True,True,False,False,False,False,0,False,True,False,False,True,False,False,0,False,False,False,True,False,da5c82c47e4e920a05b950df524b3f676d61c4dc0cbeb5722adebbb37ec9f090,0.9309446063327388
False,True,False,False,True,True,False,True,False,False,0,24,False,False,0,0,0,6,True,False,False,False,False,False,0,True,False,False,False,False,False,False,0,False,False,False,True,False,da473dfae5b4aed5567bb05fa7f514356ae7b5c350ad352ab5c8b826fc2983fc,0.9699731329206644
False,True,True,False,False,False,False,True,False,False,0,18,False,False,0,0,0,6,False,True,False,False,True,True,0,False,False,False,False,False,False,False,0,False,False,False,True,False,d9d3ecf02e9ee292ab0cdca87255f962a7c7d3771a634afcefa5b4f2aeb70ff8,0.9697214690586272
False,True,True,False,False,False,False,True,False,False,0,24,False,False,0,0,0,6,True,True,False,False,True,False,0,False,False,False,False,False,False,False,0,False,False,False,True,False,d91412cbaaef954c2dc322db7360a2fcce700fb883d42b237eabd8b863cf4887,0.9794400095707116
False,True,False,False,True,True,False,False,False,False,0,24,False,False,0,0,0,6,False,False,False,True,False,True,0,True,True,False,False,False,True,False,0,True,True,True,True,False,d9020289b00c4e1e5aa4a8f8e6fcb6e1d46b533b9cf60bb14bb409dc76346e34,0.9337559861461509
False,True,True,False,False,True,False,True,False,False,0,24,False,False,0,0,0,6,True,False,False,False,False,False,0,False,False,False,False,True,False,False,0,False,False,False,True,False,d8fbe76a93a5cd9e79153e071206d303432af453aab6a5c025af188a45681e25,0.9638896048534938
False,True,False,False,True,False,False,False,False,False,0,6,False,False,0,0,0,6,True,True,False,False,False,False,0,False,False,False,False,True,False,True,0,False,False,False,True,False,d8f9f3216170ceb7c35ea6ffda2d3944bddc34949c6706ddbf16df4a9dc93bdb,0.8757940905121928
False,True,True,False,False,False,False,False,False,False,0,24,False,False,0,0,0,6,False,True,False,True,True,True,0,False,True,False,False,False,True,False,0,True,True,True,True,False,d760046a241d31861d871118b8035f3df1168383447e404b10e6ca775e38590d,0.9396420233834804
False,False,True,True,False,False,False,True,False,False,0,0,False,False,0,0,0,6,False,True,False,True,False,False,0,False,False,False,False,True,True,False,0,True,True,True,True,False,d571673b89fa9900c20d833307eaba0d8e46278d79c4b44e8adc5b11c6c3a303,0.7873000070565376
False,True,False,False,True,True,False,False,False,False,0,18,False,False,0,0,0,6,False,False,True,True,True,True,0,False,False,False,False,False,True,True,0,True,True,False,True,False,d449ff121225bfe4c05a7152dca6e91d8f8191f454b08890eda24e9f0dc16709,0.9772440669695884
False,False,True,False,False,False,False,True,False,False,0,0,False,False,0,0,0,6,False,True,True,True,False,True,0,False,False,False,False,True,True,False,0,True,True,False,True,False,d37aa30adb6e4a80d8b66f7b93872c423ad061860f7d469ebe0a3dad508cdb01,0.784139859233862
False,False,True,False,False,True,False,False,False,False,0,0,False,False,0,0,0,6,True,False,True,True,True,False,0,False,False,False,False,False,True,True,0,True,True,False,True,False,d30bed88c1058d2171217b1222a38a46647a46564e3f4678695f911aec4598eb,0.7993142198252425
False,True,True,False,False,True,False,False,False,False,0,18,False,False,0,0,0,6,True,False,False,True,False,False,0,True,False,False,False,False,True,True,0,True,True,True,True,False,d30a2359d1483309443407963af210f2411acfa209e179eb0ab4df0589516504,0.9453696286111744
False,True,False,True,True,True,False,False,False,False,0,18,False,False,0,0,0,6,False,False,False,True,False,False,0,True,True,False,False,False,True,False,0,True,True,True,True,False,d2d9cfb811cc02ea00cd562cd368bcc89debe3a4b0c968a4a89b30b0014d6898,0.929838753036528
False,True,False,True,True,True,False,False,False,False,0,24,False,False,0,0,0,6,False,False,False,False,False,False,0,True,True,False,False,False,False,False,0,False,False,False,True,False,d2c9f8d2bebf74f2ac6412dd53f8be460a6a40552f731ebcf9447e8c96ea2439,0.958507083676174
False,False,False,False,True,False,False,False,False,False,0,0,False,False,0,0,0,6,False,True,False,False,False,True,0,False,False,False,False,True,False,True,0,False,False,False,True,False,d239c107eb75c0a53149e96d0019617d120ca9729d402c34308e00abeec98fd6,0.7890575297524466
False,False,True,True,False,False,False,False,False,False,0,0,False,False,0,0,0,6,False,True,False,True,True,False,0,False,False,False,False,False,True,True,0,True,True,True,True,False,d0d839be909ca87bba5d214ae8ef8c4a7ad85e2836f9411df2f955938e785a1a,0.8048819289049252
False,True,False,True,True,False,False,True,False,False,0,18,False,False,0,0,0,6,False,True,False,True,False,False,0,False,False,False,False,True,True,False,0,True,True,True,True,False,d0ba71afad003e2e24fc3701f859bac71fdf7e44dc9725bb7979e559b8262f60,0.932785264065382
False,True,False,False,True,True,False,True,False,False,0,6,False,False,0,0,0,6,True,False,False,True,False,False,0,False,False,False,False,True,True,False,0,True,True,True,True,False,d0b1d7f1045ffbe96ac36d3a1c9f42faf56976816788bb800c9a9b16af4114d6,0.8947014094100447
False,True,False,False,True,False,False,True,False,False,0,6,False,False,0,0,0,6,False,True,True,True,True,True,0,False,False,False,False,False,True,False,0,True,True,False,True,False,d0212610ca2d8ff971b87f63642381a59ff061e6105acebd312788ce2567a371,0.8917503791993732
False,True,True,False,False,False,False,True,False,False,0,18,False,False,0,0,0,6,False,True,False,False,False,True,0,True,False,False,False,False,False,False,0,False,False,False,True,False,cee82033109101f0170577853fd8d6b0bd38297a3eedac965216bb021ab5fa43,0.9663838348629596
False,False,False,True,True,False,False,True,False,False,0,0,False,False,0,0,0,6,False,True,True,True,True,False,0,False,False,False,False,False,True,False,0,True,True,False,True,False,cebff1db145ffbb8829e6db8cf21c93e0d16a8f706b23846ff19e1f7d054b7ec,0.8005642012629297
False,True,True,False,False,True,False,False,False,False,0,6,False,False,0,0,0,6,False,False,False,False,False,True,0,True,True,False,False,False,False,False,0,False,False,False,True,False,ce6454d7c8bf4984dec4d16cfa16528486b8ca4d8a304af273bad43e28456068,0.8763547440699577
False,True,False,False,True,True,False,True,False,False,0,6,False,False,0,0,0,6,True,False,True,True,False,False,0,False,False,False,False,True,True,False,0,True,True,False,True,False,cdfa92607320f58e0c73ec0546188ef8a22b95c48eda6f8a9a8f0adcef4dfbb8,0.8718495544938644
False,False,False,False,True,False,False,False,False,False,0,0,False,False,0,0,0,6,True,True,True,True,True,False,0,False,True,False,False,False,True,False,0,True,True,False,True,False,cc9c9e898ca3a70db28379e9026f663bc6b434ddd1e09a93c149cb77c8ed89c5,0.7870811766582808
False,True,False,True,True,True,False,False,False,False,0,24,False,False,0,0,0,6,False,False,False,False,False,False,0,False,True,False,False,True,False,False,0,False,False,False,True,False,cb3eeba645a0ab2d7954eaf19159069ee45ec9101e0e593b822803e2dc7505d4,0.9460581560036052
False,True,False,True,True,False,False,False,False,False,0,18,False,False,0,0,0,6,False,True,False,False,False,False,0,True,False,False,False,False,False,True,0,False,False,False,True,False,c905c1433412e29aff4228bf261ed93e3a141088f45007058e7ab2f00753a658,0.9711553262120632
False,True,True,False,False,True,False,False,False,False,0,24,False,False,0,0,0,6,True,False,True,True,False,False,0,True,True,False,False,False,True,False,0,True,True,False,True,False,c8d363cd6fc69df32d3bb070953cf09efa57cffea005b31ca82488e0d1ee8f44,0.9585140995734912
False,True,True,False,False,False,False,False,False,False,0,24,False,False,0,0,0,6,False,True,True,True,False,True,0,False,False,False,False,True,True,True,0,True,True,False,True,False,c862ce160c5978e23287bf8adb19708e44cd9bf580588bfc01a6be7dc7d5fe34,0.9769765367072262
False,True,False,False,True,True,False,True,False,False,0,18,False,False,0,0,0,6,False,False,False,False,False,True,0,True,False,False,False,False,False,False,0,False,False,False,True,False,c7de67fb142bcbf5380a39c4a63b4f2c4347e81144f80c212621605b61a519cc,0.9658321394154442
False,True,True,False,False,False,False,False,False,False,0,24,False,False,0,0,0,6,False,True,False,True,False,True,0,False,True,False,False,True,True,False,0,True,True,True,True,False,c3c520e2c2781f0e10728b82df5d0e3f5d6c65bf592a12e9e2c2f9714ac64760,0.9217264594132748
False,True,False,False,True,False,False,True,False,False,0,24,False,False,0,0,0,6,False,True,False,False,False,True,0,False,False,False,False,True,False,False,0,False,False,False,True,False,c2f16c4ef6e5dd52af1c8b876f4a460273f0f4c902055672c5ff63275074ea4c,0.9667870052515972
False,True,True,True,False,False,False,True,False,False,0,18,False,False,0,0,0,6,False,True,False,False,False,False,0,True,False,False,False,False,False,False,0,False,False,False,True,False,c2866a24d5fe708b18dee1b50b44d7d2051ae3a38d8512ae460877074a3b3d3e,0.9700910096553418
False,True,False,True,True,False,False,False,False,False,0,18,False,False,0,0,0,6,False,True,True,True,True,False,0,False,True,False,False,False,True,False,0,True,True,False,True,False,c248f27e75e29d7560e6065313c46870cd698aeca0484a371b8f91e7cb705cda,0.9537050196645596
False,False,False,False,True,True,False,True,False,False,0,0,False,False,0,0,0,6,False,False,False,False,False,True,0,False,False,False,False,True,False,False,0,False,False,False,True,False,c1ec052630d42c875f8d3390ff8110679aca1bf8bd388815a8cb96d6604a8f64,0.7853574581066589
False,True,False,False,True,True,False,False,False,False,0,6,False,False,0,0,0,6,True,False,True,True,True,False,0,False,True,False,False,False,True,False,0,True,True,False,True,False,c139e5ee9f94db7d7984a2cc03f4de53fca7a12e765f7537debdf6dfdf975dea,0.8737911837910438
