coregistration/source_target/func_on_anat,signal_modeling/nuisance_regressors,motion_correction_realignment/register_to/mean,coregistration/cost_function/normalised_mutual_information,motion_correction_realignment/register_to/first,signal_modelling/temporal_noise_autocorrelation/FAST,spatial_normalization/template/MNI152_linear,spatial_normalization/interpolation/trilinear,spatial_normalization/template/MNI305,spatial_normalization/algorithm/linear,spatial_normalization/bias_regularisation/light,signal_modeling/nuisance_regressors/motion,coregistration/cost_function/normalised_cross_correlation,spatial_normalization/algorithm/DARTEL,spatial_normalization/bias_regularisation/medium,spatial_normalization/bias_regularisation/very_light,spatial_normalization/bias_fwhm,spatial_smoothing/fwhm,coregistration/cost_function/mutual_information,signal_modelling/temporal_noise_autocorrelation/AR1,slice_timing_correction/ref_slice/middle,slice_timing_correction/ref_slice,signal_modeling/hrf/temporal_derivs,coregistration/cost_function/entropy_correlation_coefficient,spatial_normalization/bias_regularisation/extremely_light,signal_modeling/hrf/canonical,spatial_normalization/interpolation/nearest_neighbour,spatial_normalization/bias_regularisation,signal_modeling/nuisance_regressors/comp_cor,signal_modeling/hrf/temporal_dispersion_derivs,slice_timing_correction/tool,spatial_normalization/interpolation/bspline,spatial_normalization/bias_regularisation/heavy,slice_timing_correction,slice_timing_correction/tool/spm,slice_timing_correction/ref_slice/first,spatial_normalization/template/MNI152_nonlinear,id,from_ref
False,True,True,False,False,True,False,False,False,False,0,24,False,False,0,0,0,6,True,False,False,True,False,False,0,False,False,False,False,True,True,True,0,True,True,True,False,eb67eeff5ddd1511a3330ead5560c800e32f360d48ad1940ea1c693f8c4ed347,0.946030068701626
False,True,False,False,True,False,False,False,False,False,0,18,True,False,0,0,0,6,False,True,False,True,False,False,0,True,False,False,False,False,True,True,0,True,True,True,False,ea5d5205b9f8e6a3e8384509b25bf1571ea77f0d78d072dfa66646a6b49572e0,0.8346529912737325
False,True,True,False,False,True,False,False,False,False,0,18,False,False,0,0,0,6,True,False,False,True,False,False,0,False,True,False,False,True,True,False,0,True,True,True,False,e9e0988a3e61ce4d61195c7f360ad7de56058d76525b3d3b4a7de708d361d522,0.9279432201658104
False,True,False,False,True,True,False,False,False,False,0,18,False,False,0,0,0,6,False,False,False,True,False,True,0,False,True,False,False,True,True,False,0,True,True,True,False,e9ae6ef064724bd027f708da02981e37dd8d32008474ba807bfc116f685daf6b,0.927367410798371
False,True,True,True,False,True,False,True,False,False,0,6,False,False,0,0,0,6,False,False,False,False,False,False,0,True,False,False,False,False,False,False,0,False,False,False,False,e8ea605007e13c1548d05328a3161704f7421cd9a9eceeab7051f0a264af6d0e,0.9075713544485688
False,True,True,True,False,True,False,True,False,False,0,6,False,False,0,0,0,6,False,False,False,True,False,False,0,False,False,False,False,True,True,False,0,True,True,True,False,e729dcaf60ad3f56dfcfd593e41f27b610481c3437d56e1f4dc0efc2c2e10fd4,0.9058367169178502
False,False,True,False,False,True,False,False,False,False,0,0,True,False,0,0,0,6,False,False,False,True,False,False,0,True,False,False,False,False,True,True,0,True,True,True,False,e71d0cd6cc035220defbe87b5fac071135838314d146cd6b308ab73281df755c,0.7100224212264191
False,True,True,False,False,False,False,True,False,False,0,6,True,False,0,0,0,6,False,True,False,False,False,False,0,True,False,False,False,False,False,False,0,False,False,False,False,e65bf9f6da5c0c1f1105c052111854d821ccf00c90133f12a33876b9b4f4135d,0.8068093999023755
False,True,True,True,False,False,False,True,False,False,0,24,False,False,0,0,0,6,False,True,True,True,False,False,0,False,False,False,False,True,True,False,0,True,True,False,False,e64b3c7474c70d05ca7169ab037f74a69274e92787b2a31f22eae05662cfd6e4,0.969745217991352
False,False,False,False,True,True,False,True,False,False,0,0,True,False,0,0,0,6,False,False,False,True,True,False,0,False,False,False,False,False,True,False,0,True,True,True,False,e505160250f4709c2de37fd708d5c8fd3f274431daed3dc940bc665940831bdf,0.6976569434254529
